,Player,HID,p_throws,batter,pitch_type,AB,H,AVG,SwStr%,wOBA,OPS,ISO,EV,Air Hard%,BIP,Brl%,Hard%,GB%,LD%,FB%,K%,BB%,1B,2B,3B,HR,Game,Team,Opp,Spot
97,Nicky Lopez,670032,R,670032,SL,88.0,11.0,0.125,0.15,0.15544210526315788,0.324,0.01100000000000001,83.29701492537313,0.25,67,0.0,0.149,0.597,0.179,0.179,0.229,0.042,10,1,0,0,LAA@TEX,TEX,LAA,9
0,Ketel Marte,606466,R,606466,CH,221.0,54.0,0.244,0.123,0.28839224137931035,0.677,0.15400000000000003,88.17666666666666,0.467,180,0.044,0.378,0.522,0.228,0.189,0.18,0.047,38,6,2,8,ARI@SD,ARI,SD,1
2,Ketel Marte,606466,R,606466,CU,92.0,25.0,0.272,0.093,0.41204761904761905,0.988,0.358,87.69041095890411,0.395,73,0.137,0.37,0.397,0.205,0.315,0.189,0.104,12,3,0,10,ARI@SD,ARI,SD,1
5,Ketel Marte,606466,R,606466,FF,379.0,105.0,0.277,0.063,0.3877444933920705,0.899,0.23199999999999998,91.89545454545454,0.562,330,0.152,0.521,0.361,0.242,0.339,0.123,0.158,66,13,3,23,ARI@SD,ARI,SD,1
8,Ketel Marte,606466,R,606466,SI,165.0,54.0,0.327,0.051,0.39569892473118284,0.926,0.2,93.51418439716312,0.557,141,0.085,0.539,0.525,0.227,0.206,0.138,0.106,36,10,1,7,ARI@SD,ARI,SD,1
9,Ketel Marte,606466,R,606466,SL,167.0,43.0,0.257,0.131,0.3637354497354497,0.855,0.258,90.6655737704918,0.515,122,0.131,0.426,0.402,0.238,0.303,0.246,0.105,20,12,2,9,ARI@SD,ARI,SD,1
12,Geraldo Perdomo,672695,R,672695,CH,136.0,36.0,0.265,0.069,0.3218133333333334,0.745,0.14699999999999996,85.88728813559322,0.373,118,0.034,0.271,0.475,0.237,0.263,0.12,0.093,23,9,1,3,ARI@SD,ARI,SD,2
13,Geraldo Perdomo,672695,R,672695,CU,86.0,20.0,0.233,0.032,0.3051274509803922,0.664,0.08099999999999999,84.409375,0.176,64,0.0,0.109,0.422,0.328,0.203,0.223,0.117,13,7,0,0,ARI@SD,ARI,SD,2
16,Geraldo Perdomo,672695,R,672695,FF,431.0,111.0,0.258,0.049,0.3603927203065134,0.809,0.178,85.17157622739019,0.342,387,0.044,0.292,0.292,0.243,0.339,0.118,0.166,67,26,3,15,ARI@SD,ARI,SD,2
19,Geraldo Perdomo,672695,R,672695,SI,182.0,53.0,0.291,0.035,0.3491190476190476,0.787,0.121,89.0171974522293,0.494,157,0.057,0.427,0.427,0.261,0.255,0.144,0.125,39,9,2,3,ARI@SD,ARI,SD,2
20,Geraldo Perdomo,672695,R,672695,SL,139.0,31.0,0.223,0.09,0.33573372781065086,0.751,0.17300000000000001,87.21274509803922,0.32,102,0.039,0.294,0.431,0.206,0.284,0.233,0.145,16,9,3,3,ARI@SD,ARI,SD,2
23,Corbin Carroll,682998,R,682998,CH,192.0,42.0,0.219,0.118,0.2970147058823529,0.706,0.224,87.9920245398773,0.493,163,0.08,0.399,0.491,0.227,0.184,0.146,0.059,18,11,7,6,ARI@SD,ARI,SD,3
25,Corbin Carroll,682998,R,682998,CU,147.0,40.0,0.272,0.117,0.34339610389610387,0.818,0.245,88.7788990825688,0.54,109,0.11,0.404,0.495,0.174,0.284,0.256,0.032,22,7,4,7,ARI@SD,ARI,SD,3
28,Corbin Carroll,682998,R,682998,FF,470.0,113.0,0.24,0.109,0.37306514084507036,0.869,0.26,91.68115942028986,0.571,345,0.122,0.461,0.264,0.243,0.325,0.226,0.154,56,19,11,27,ARI@SD,ARI,SD,3
33,Corbin Carroll,682998,R,682998,SI,164.0,51.0,0.311,0.057,0.3988958333333334,0.935,0.21300000000000002,93.79842519685039,0.65,127,0.087,0.606,0.504,0.22,0.252,0.193,0.141,31,11,3,6,ARI@SD,ARI,SD,3
34,Corbin Carroll,682998,R,682998,SL,173.0,47.0,0.272,0.142,0.40438693467336684,0.968,0.33499999999999996,91.8991935483871,0.652,124,0.129,0.5,0.339,0.21,0.323,0.257,0.109,19,9,8,11,ARI@SD,ARI,SD,3
37,Gabriel Moreno,672515,R,672515,CH,60.0,17.0,0.283,0.115,0.3266451612903226,0.773,0.18400000000000005,88.126,0.423,50,0.12,0.3,0.44,0.32,0.2,0.161,0.0,12,2,0,3,ARI@SD,ARI,SD,4
38,Gabriel Moreno,672515,R,672515,CU,58.0,17.0,0.293,0.077,0.33577777777777773,0.775,0.138,88.05454545454546,0.6,44,0.114,0.409,0.5,0.182,0.273,0.234,0.062,13,2,0,2,ARI@SD,ARI,SD,4
41,Gabriel Moreno,672515,R,672515,FF,193.0,57.0,0.295,0.084,0.37565333333333334,0.869,0.182,90.58235294117647,0.6,153,0.085,0.503,0.366,0.288,0.268,0.185,0.141,38,10,2,7,ARI@SD,ARI,SD,4
44,Gabriel Moreno,672515,R,672515,SI,193.0,59.0,0.306,0.029,0.3591615720524017,0.809,0.08800000000000002,90.07674418604651,0.508,172,0.052,0.459,0.61,0.244,0.122,0.092,0.144,48,8,0,3,ARI@SD,ARI,SD,4
45,Gabriel Moreno,672515,R,672515,SL,152.0,30.0,0.197,0.108,0.2271030303030303,0.502,0.045999999999999985,86.52,0.377,120,0.033,0.292,0.517,0.233,0.208,0.199,0.072,25,4,0,1,ARI@SD,ARI,SD,4
48,Adrian Del Castillo,680728,R,680728,CH,37.0,9.0,0.243,0.207,0.2311842105263158,0.533,0.027000000000000024,86.39999999999999,0.75,24,0.042,0.333,0.542,0.208,0.125,0.342,0.026,8,1,0,0,ARI@SD,ARI,SD,5
49,Adrian Del Castillo,680728,R,680728,CU,27.0,5.0,0.185,0.149,0.23299999999999996,0.54,0.14800000000000002,88.71538461538461,0.571,13,0.0,0.385,0.462,0.154,0.385,0.517,0.034,3,1,0,1,ARI@SD,ARI,SD,5
51,Adrian Del Castillo,680728,R,680728,FF,115.0,26.0,0.226,0.145,0.29240495867768596,0.69,0.19999999999999998,91.535,0.541,80,0.1,0.5,0.15,0.275,0.488,0.289,0.041,13,8,0,5,ARI@SD,ARI,SD,5
54,Adrian Del Castillo,680728,R,680728,SI,34.0,9.0,0.265,0.06,0.3775,0.844,0.14699999999999996,89.07666666666667,0.625,30,0.067,0.4,0.4,0.267,0.267,0.091,0.227,6,2,0,1,ARI@SD,ARI,SD,5
55,Adrian Del Castillo,680728,R,680728,SL,31.0,5.0,0.161,0.159,0.242030303030303,0.561,0.19399999999999998,86.62142857142858,0.833,14,0.143,0.5,0.571,0.143,0.286,0.529,0.059,3,0,0,2,ARI@SD,ARI,SD,5
58,Nolan Arenado,571448,R,571448,CH,78.0,20.0,0.256,0.178,0.28099999999999997,0.648,0.10299999999999998,85.85192307692309,0.433,52,0.019,0.346,0.346,0.365,0.212,0.325,0.036,14,5,0,1,ARI@SD,ARI,SD,6
60,Nolan Arenado,571448,R,571448,CU,74.0,25.0,0.338,0.082,0.4254285714285714,1.026,0.324,84.23770491803279,0.423,61,0.098,0.279,0.492,0.23,0.197,0.169,0.039,15,3,0,7,ARI@SD,ARI,SD,6
62,Nolan Arenado,571448,R,571448,FF,370.0,92.0,0.249,0.074,0.3263861386138614,0.765,0.20500000000000002,88.88774193548387,0.439,310,0.084,0.377,0.306,0.235,0.323,0.151,0.074,59,11,1,21,ARI@SD,ARI,SD,6
65,Nolan Arenado,571448,R,571448,SI,249.0,81.0,0.325,0.035,0.38034163701067614,0.876,0.15699999999999997,88.73290043290044,0.51,231,0.052,0.416,0.511,0.242,0.19,0.08,0.094,58,15,0,8,ARI@SD,ARI,SD,6
66,Nolan Arenado,571448,R,571448,SL,313.0,76.0,0.243,0.135,0.2882934131736527,0.666,0.137,85.40685483870968,0.385,248,0.04,0.298,0.419,0.238,0.234,0.206,0.062,50,17,1,8,ARI@SD,ARI,SD,6
69,Max Kepler,596146,R,596146,CH,157.0,38.0,0.242,0.14,0.29475595238095237,0.685,0.15300000000000002,86.92160000000001,0.333,125,0.072,0.32,0.408,0.264,0.264,0.195,0.059,24,9,0,5,ARI@SD,ARI,SD,7
71,Max Kepler,596146,R,596146,CU,120.0,26.0,0.217,0.16,0.26788095238095233,0.629,0.158,88.85243902439024,0.408,82,0.073,0.341,0.354,0.256,0.341,0.302,0.048,14,8,1,3,ARI@SD,ARI,SD,7
74,Max Kepler,596146,R,596146,FF,308.0,80.0,0.26,0.076,0.3575892351274787,0.831,0.22099999999999997,94.20428015564202,0.582,257,0.175,0.537,0.218,0.284,0.432,0.151,0.12,44,20,0,16,ARI@SD,ARI,SD,7
78,Max Kepler,596146,R,596146,SI,115.0,26.0,0.226,0.064,0.2747007874015748,0.617,0.096,90.51919191919191,0.5,99,0.04,0.505,0.566,0.232,0.192,0.14,0.085,21,2,0,3,ARI@SD,ARI,SD,7
79,Max Kepler,596146,R,596146,SL,136.0,30.0,0.221,0.148,0.3212967741935484,0.738,0.205,89.11326530612246,0.531,98,0.082,0.449,0.388,0.173,0.327,0.255,0.102,15,8,1,6,ARI@SD,ARI,SD,7
82,Ildemaro Vargas,545121,R,545121,CH,80.0,13.0,0.162,0.103,0.15956790123456788,0.367,0.038000000000000006,82.75641025641026,0.074,78,0.0,0.167,0.654,0.179,0.167,0.06,0.012,11,1,1,0,ARI@SD,ARI,SD,8
83,Ildemaro Vargas,545121,R,545121,CU,45.0,9.0,0.2,0.076,0.19402127659574467,0.429,0.0,79.54878048780488,0.273,41,0.0,0.244,0.659,0.195,0.073,0.104,0.021,9,0,0,0,ARI@SD,ARI,SD,8
86,Ildemaro Vargas,545121,R,545121,FF,190.0,59.0,0.311,0.038,0.33960476190476196,0.771,0.09400000000000003,85.4679347826087,0.321,184,0.022,0.332,0.478,0.25,0.207,0.056,0.088,47,8,2,2,ARI@SD,ARI,SD,8
88,Ildemaro Vargas,545121,R,545121,SI,80.0,20.0,0.25,0.035,0.311,0.701,0.125,85.825,0.364,76,0.013,0.303,0.697,0.158,0.132,0.065,0.098,14,4,0,2,ARI@SD,ARI,SD,8
89,Ildemaro Vargas,545121,R,545121,SL,72.0,13.0,0.181,0.121,0.21002597402597403,0.467,0.05499999999999999,84.38181818181818,0.733,55,0.0,0.327,0.673,0.182,0.091,0.231,0.064,9,4,0,0,ARI@SD,ARI,SD,8
92,Tommy Troy,694371,R,694371,CH,8.0,2.0,0.25,0.292,0.21375,0.5,0.0,86.36666666666667,0.0,3,0.0,0.333,0.333,0.333,0.333,0.625,0.0,2,0,0,0,ARI@SD,ARI,SD,9
93,Tommy Troy,694371,R,694371,CU,3.0,0.0,0.0,0.167,0.0,0.0,0.0,82.80000000000001,0.0,2,0.0,0.0,0.5,0.5,0.0,0.333,0.0,0,0,0,0,ARI@SD,ARI,SD,9
95,Tommy Troy,694371,R,694371,FF,22.0,6.0,0.273,0.052,0.4088076923076923,0.976,0.31799999999999995,91.545,0.615,20,0.1,0.5,0.35,0.25,0.4,0.077,0.154,3,1,0,2,ARI@SD,ARI,SD,9
97,Tommy Troy,694371,R,694371,SI,21.0,3.0,0.143,0.045,0.14827272727272728,0.325,0.0,76.18235294117646,0.0,17,0.0,0.059,0.765,0.176,0.0,0.182,0.045,3,0,0,0,ARI@SD,ARI,SD,9
98,Tommy Troy,694371,R,694371,SL,9.0,1.0,0.111,0.197,0.27824999999999994,0.555,0.111,75.6,1.0,5,0.2,0.4,0.6,0.2,0.0,0.333,0.25,0,1,0,0,ARI@SD,ARI,SD,9
0,Fernando Tatis Jr.,665487,R,665487,CH,93.0,18.0,0.194,0.209,0.24031632653061222,0.555,0.129,92.3688524590164,0.727,61,0.098,0.525,0.623,0.148,0.213,0.333,0.051,10,6,0,2,ARI@SD,SD,ARI,1
2,Fernando Tatis Jr.,665487,R,665487,CU,92.0,23.0,0.25,0.162,0.29907291666666663,0.702,0.174,94.11194029850746,0.654,67,0.134,0.507,0.582,0.164,0.224,0.268,0.031,13,7,0,3,ARI@SD,SD,ARI,1
4,Fernando Tatis Jr.,665487,R,665487,FC,96.0,26.0,0.271,0.159,0.3224811320754717,0.742,0.135,90.88536585365854,0.629,82,0.073,0.512,0.537,0.22,0.207,0.14,0.093,20,2,1,3,ARI@SD,SD,ARI,1
5,Fernando Tatis Jr.,665487,R,665487,FF,360.0,103.0,0.286,0.151,0.37624815724815724,0.886,0.23100000000000004,95.85468164794008,0.688,267,0.169,0.625,0.33,0.24,0.337,0.229,0.108,60,23,0,20,ARI@SD,SD,ARI,1
7,Fernando Tatis Jr.,665487,R,665487,PO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,ARI@SD,SD,ARI,1
8,Fernando Tatis Jr.,665487,R,665487,SI,372.0,115.0,0.309,0.065,0.36172792362768497,0.831,0.14,90.94156626506023,0.614,332,0.084,0.506,0.596,0.25,0.133,0.106,0.085,86,17,1,11,ARI@SD,SD,ARI,1
9,Fernando Tatis Jr.,665487,R,665487,SL,274.0,76.0,0.277,0.195,0.3584983277591973,0.847,0.23399999999999999,91.98846153846154,0.719,208,0.135,0.514,0.49,0.202,0.26,0.226,0.083,43,17,1,15,ARI@SD,SD,ARI,1
12,Jake Cronenworth,630105,R,630105,CH,146.0,29.0,0.199,0.13,0.2698831168831169,0.634,0.198,85.06140350877193,0.344,114,0.07,0.237,0.404,0.228,0.307,0.212,0.051,15,6,1,7,ARI@SD,SD,ARI,2
14,Jake Cronenworth,630105,R,630105,CU,104.0,28.0,0.269,0.119,0.2988440366972477,0.691,0.125,86.3328125,0.469,64,0.031,0.375,0.453,0.312,0.188,0.36,0.027,17,10,0,1,ARI@SD,SD,ARI,2
16,Jake Cronenworth,630105,R,630105,FC,100.0,16.0,0.16,0.088,0.27253846153846156,0.6,0.16,89.59878048780489,0.5,82,0.11,0.415,0.415,0.195,0.293,0.161,0.102,8,4,0,4,ARI@SD,SD,ARI,2
17,Jake Cronenworth,630105,R,630105,FF,389.0,96.0,0.247,0.055,0.3446236786469345,0.771,0.14600000000000002,88.23969696969696,0.44,330,0.082,0.403,0.352,0.258,0.327,0.13,0.153,63,20,2,11,ARI@SD,SD,ARI,2
20,Jake Cronenworth,630105,R,630105,SI,148.0,35.0,0.236,0.022,0.2943942857142857,0.63,0.04799999999999999,90.01190476190476,0.463,126,0.04,0.437,0.563,0.262,0.167,0.134,0.134,29,5,1,0,ARI@SD,SD,ARI,2
21,Jake Cronenworth,630105,R,630105,SL,129.0,30.0,0.233,0.148,0.34223809523809523,0.791,0.23999999999999996,88.78555555555555,0.527,90,0.144,0.456,0.278,0.189,0.422,0.285,0.099,15,7,0,8,ARI@SD,SD,ARI,2
24,Manny Machado,592518,R,592518,CH,94.0,23.0,0.245,0.145,0.3122222222222222,0.737,0.21200000000000002,92.16323529411765,0.656,68,0.162,0.471,0.426,0.265,0.206,0.27,0.05,13,5,0,5,ARI@SD,SD,ARI,3
26,Manny Machado,592518,R,592518,CU,111.0,24.0,0.216,0.179,0.25521428571428567,0.61,0.171,87.16901408450704,0.471,71,0.099,0.338,0.451,0.225,0.254,0.357,0.009,15,4,0,5,ARI@SD,SD,ARI,3
28,Manny Machado,592518,R,592518,FC,105.0,27.0,0.257,0.111,0.3051071428571429,0.714,0.15299999999999997,90.78817204301075,0.591,93,0.097,0.473,0.43,0.194,0.28,0.107,0.062,19,4,0,4,ARI@SD,SD,ARI,3
29,Manny Machado,592518,R,592518,FF,397.0,96.0,0.242,0.125,0.3393010989010989,0.784,0.20600000000000002,95.9505016722408,0.714,299,0.161,0.639,0.304,0.258,0.361,0.221,0.124,52,25,0,19,ARI@SD,SD,ARI,3
31,Manny Machado,592518,R,592518,PO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,ARI@SD,SD,ARI,3
33,Manny Machado,592518,R,592518,SI,355.0,119.0,0.335,0.066,0.37660732984293194,0.882,0.16899999999999998,93.90465838509317,0.566,322,0.075,0.547,0.543,0.286,0.137,0.096,0.07,87,18,0,14,ARI@SD,SD,ARI,3
34,Manny Machado,592518,R,592518,SL,286.0,69.0,0.241,0.157,0.32075163398692813,0.754,0.22799999999999998,87.74199134199135,0.555,231,0.104,0.377,0.437,0.216,0.26,0.196,0.061,40,11,0,18,ARI@SD,SD,ARI,3
37,Gavin Sheets,657757,R,657757,CH,203.0,45.0,0.222,0.132,0.2709223744292238,0.624,0.12299999999999997,84.16524390243903,0.478,164,0.055,0.329,0.476,0.262,0.146,0.178,0.073,32,7,0,6,ARI@SD,SD,ARI,4
39,Gavin Sheets,657757,R,657757,CU,132.0,26.0,0.197,0.13,0.2840402684563758,0.643,0.15899999999999997,86.96144578313253,0.49,83,0.048,0.373,0.337,0.253,0.337,0.333,0.093,15,6,0,5,ARI@SD,SD,ARI,4
40,Gavin Sheets,657757,R,657757,FC,103.0,33.0,0.32,0.071,0.39988596491228073,0.946,0.24299999999999994,90.10888888888888,0.46,90,0.122,0.411,0.333,0.278,0.278,0.122,0.096,20,7,0,6,ARI@SD,SD,ARI,4
41,Gavin Sheets,657757,R,657757,FF,407.0,89.0,0.219,0.074,0.30398461538461535,0.7,0.18100000000000002,90.76966966966967,0.51,333,0.087,0.429,0.288,0.267,0.315,0.166,0.101,53,17,0,19,ARI@SD,SD,ARI,4
43,Gavin Sheets,657757,R,657757,PO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,ARI@SD,SD,ARI,4
44,Gavin Sheets,657757,R,657757,SI,127.0,35.0,0.276,0.041,0.33987142857142855,0.792,0.173,92.9045045045045,0.603,111,0.117,0.523,0.387,0.351,0.216,0.114,0.086,21,10,0,4,ARI@SD,SD,ARI,4
45,Gavin Sheets,657757,R,657757,SL,138.0,33.0,0.239,0.138,0.30705844155844153,0.7,0.14500000000000002,88.15050505050505,0.469,99,0.051,0.404,0.434,0.253,0.242,0.258,0.077,19,11,0,3,ARI@SD,SD,ARI,4
48,Ty France,664034,R,664034,CH,59.0,16.0,0.271,0.124,0.3343098591549296,0.728,0.068,87.22173913043478,0.455,46,0.022,0.348,0.478,0.196,0.283,0.194,0.111,12,4,0,0,ARI@SD,SD,ARI,5
50,Ty France,664034,R,664034,CU,78.0,28.0,0.359,0.121,0.386297619047619,0.905,0.14100000000000001,87.5741935483871,0.516,62,0.065,0.387,0.484,0.29,0.21,0.19,0.036,20,6,1,1,ARI@SD,SD,ARI,5
52,Ty France,664034,R,664034,FC,86.0,21.0,0.244,0.146,0.3002065217391304,0.7,0.16299999999999998,89.98823529411764,0.595,68,0.088,0.426,0.426,0.265,0.279,0.196,0.043,15,2,0,4,ARI@SD,SD,ARI,5
53,Ty France,664034,R,664034,FF,322.0,74.0,0.23,0.113,0.3146164021164021,0.699,0.12699999999999997,89.04978902953586,0.512,237,0.063,0.426,0.354,0.266,0.262,0.226,0.087,51,14,0,9,ARI@SD,SD,ARI,5
56,Ty France,664034,R,664034,SI,302.0,79.0,0.262,0.062,0.3183501483679525,0.722,0.125,86.37028985507247,0.449,276,0.04,0.373,0.605,0.228,0.127,0.085,0.047,57,14,0,8,ARI@SD,SD,ARI,5
57,Ty France,664034,R,664034,SL,253.0,53.0,0.209,0.155,0.26393333333333335,0.61,0.143,87.83692307692309,0.481,195,0.103,0.405,0.41,0.179,0.354,0.218,0.052,31,15,0,7,ARI@SD,SD,ARI,5
60,Xander Bogaerts,593428,R,593428,CH,78.0,16.0,0.205,0.139,0.29752272727272727,0.68,0.18000000000000002,85.74489795918367,0.45,49,0.061,0.367,0.531,0.184,0.224,0.33,0.08,8,5,0,3,ARI@SD,SD,ARI,6
62,Xander Bogaerts,593428,R,593428,CU,92.0,26.0,0.283,0.114,0.3131030927835052,0.729,0.13,85.1758064516129,0.5,62,0.032,0.355,0.435,0.274,0.242,0.316,0.051,20,3,0,3,ARI@SD,SD,ARI,6
63,Xander Bogaerts,593428,R,593428,FC,82.0,22.0,0.268,0.073,0.31848314606741573,0.737,0.14699999999999996,89.45217391304348,0.543,69,0.058,0.377,0.478,0.275,0.232,0.156,0.078,16,3,0,3,ARI@SD,SD,ARI,6
64,Xander Bogaerts,593428,R,593428,FF,351.0,101.0,0.288,0.062,0.3434145728643216,0.784,0.128,89.92401315789475,0.509,304,0.069,0.418,0.362,0.26,0.283,0.127,0.112,74,18,0,9,ARI@SD,SD,ARI,6
67,Xander Bogaerts,593428,R,593428,SI,325.0,83.0,0.255,0.058,0.2956871508379888,0.669,0.09299999999999997,85.01565836298933,0.405,281,0.043,0.349,0.669,0.189,0.11,0.13,0.069,67,9,0,7,ARI@SD,SD,ARI,6
68,Xander Bogaerts,593428,R,593428,SL,224.0,65.0,0.29,0.122,0.356724,0.83,0.179,85.64887640449439,0.326,178,0.045,0.253,0.427,0.264,0.236,0.19,0.099,46,8,1,10,ARI@SD,SD,ARI,6
71,Jackson Merrill,701538,R,701538,CH,137.0,35.0,0.255,0.148,0.3109041095890411,0.728,0.176,85.48376068376069,0.604,117,0.085,0.359,0.573,0.214,0.197,0.149,0.061,18,12,3,2,ARI@SD,SD,ARI,7
73,Jackson Merrill,701538,R,701538,CU,103.0,37.0,0.359,0.144,0.38279629629629636,0.904,0.15600000000000003,90.98552631578947,0.522,76,0.053,0.474,0.382,0.355,0.25,0.25,0.028,28,5,1,3,ARI@SD,SD,ARI,7
75,Jackson Merrill,701538,R,701538,FC,82.0,25.0,0.305,0.143,0.3712117647058823,0.887,0.25600000000000006,88.1376811594203,0.605,69,0.087,0.449,0.333,0.246,0.304,0.163,0.035,15,4,1,5,ARI@SD,SD,ARI,7
76,Jackson Merrill,701538,R,701538,FF,318.0,76.0,0.239,0.154,0.32262608695652173,0.756,0.22300000000000003,92.30000000000001,0.549,238,0.176,0.5,0.269,0.256,0.424,0.243,0.074,42,15,1,18,ARI@SD,SD,ARI,7
79,Jackson Merrill,701538,R,701538,SI,93.0,33.0,0.355,0.065,0.3977087378640777,0.922,0.16100000000000003,92.62409638554217,0.562,83,0.145,0.542,0.398,0.277,0.301,0.123,0.085,27,1,1,4,ARI@SD,SD,ARI,7
80,Jackson Merrill,701538,R,701538,SL,82.0,25.0,0.305,0.163,0.41385057471264364,1.0,0.35400000000000004,92.45593220338982,0.659,59,0.169,0.61,0.271,0.305,0.39,0.273,0.057,10,7,2,6,ARI@SD,SD,ARI,7
83,Miguel Andujar,609280,R,609280,CH,36.0,11.0,0.306,0.116,0.33702702702702697,0.788,0.16599999999999998,83.63125,0.267,32,0.031,0.281,0.438,0.25,0.219,0.132,0.0,7,3,0,1,ARI@SD,SD,ARI,8
84,Miguel Andujar,609280,R,609280,CU,45.0,14.0,0.311,0.107,0.35822916666666665,0.843,0.178,86.54054054054055,0.4,37,0.027,0.405,0.459,0.297,0.108,0.167,0.042,10,2,0,2,ARI@SD,SD,ARI,8
86,Miguel Andujar,609280,R,609280,FC,46.0,13.0,0.283,0.096,0.29965957446808505,0.705,0.13,87.39318181818182,0.364,44,0.068,0.295,0.386,0.227,0.273,0.062,0.021,10,1,1,1,ARI@SD,SD,ARI,8
87,Miguel Andujar,609280,R,609280,FF,153.0,41.0,0.268,0.059,0.31740243902439025,0.74,0.15699999999999997,92.07080291970803,0.578,137,0.095,0.482,0.409,0.175,0.292,0.103,0.067,27,9,0,5,ARI@SD,SD,ARI,8
89,Miguel Andujar,609280,R,609280,PO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,ARI@SD,SD,ARI,8
90,Miguel Andujar,609280,R,609280,SI,167.0,52.0,0.311,0.033,0.3322513966480447,0.771,0.10199999999999998,87.18838709677419,0.386,155,0.013,0.381,0.613,0.232,0.135,0.067,0.045,39,10,2,1,ARI@SD,SD,ARI,8
91,Miguel Andujar,609280,R,609280,SL,134.0,30.0,0.224,0.129,0.23141304347826086,0.537,0.06699999999999998,82.30740740740741,0.233,108,0.009,0.231,0.537,0.241,0.157,0.188,0.029,25,3,0,2,ARI@SD,SD,ARI,8
94,Luis Campusano,669134,R,669134,CH,22.0,5.0,0.227,0.194,0.2836521739130434,0.67,0.18199999999999997,86.11538461538461,0.25,13,0.077,0.308,0.538,0.154,0.154,0.391,0.043,3,1,0,1,ARI@SD,SD,ARI,9
96,Luis Campusano,669134,R,669134,CU,40.0,11.0,0.275,0.188,0.2662926829268293,0.618,0.04999999999999999,89.25200000000001,0.333,25,0.04,0.28,0.48,0.36,0.12,0.366,0.0,9,2,0,0,ARI@SD,SD,ARI,9
98,Luis Campusano,669134,R,669134,FC,19.0,2.0,0.105,0.1,0.20299999999999999,0.453,0.15800000000000003,87.12222222222222,0.545,18,0.056,0.444,0.389,0.222,0.389,0.048,0.095,1,0,0,1,ARI@SD,SD,ARI,9
99,Luis Campusano,669134,R,669134,FF,89.0,29.0,0.326,0.137,0.40718446601941743,0.952,0.21300000000000002,95.14383561643835,0.653,73,0.123,0.644,0.301,0.356,0.315,0.163,0.135,18,7,0,4,ARI@SD,SD,ARI,9
101,Luis Campusano,669134,R,669134,SI,90.0,22.0,0.244,0.056,0.2806458333333333,0.648,0.11199999999999999,85.77816091954023,0.414,87,0.034,0.368,0.598,0.207,0.126,0.031,0.042,16,4,0,2,ARI@SD,SD,ARI,9
102,Luis Campusano,669134,R,669134,SL,75.0,24.0,0.32,0.132,0.3589493670886076,0.847,0.173,88.63548387096773,0.414,62,0.016,0.387,0.435,0.274,0.194,0.165,0.051,17,4,0,3,ARI@SD,SD,ARI,9
0,Nathan Lukes,664770,R,664770,CH,76.0,21.0,0.276,0.105,0.3079125,0.717,0.13199999999999995,83.11176470588236,0.333,68,0.103,0.235,0.485,0.235,0.206,0.111,0.049,15,4,0,2,TOR@SF,TOR,SF,1
2,Nathan Lukes,664770,R,664770,CU,65.0,18.0,0.277,0.065,0.33217910447761195,0.786,0.21499999999999997,89.8157894736842,0.531,57,0.07,0.439,0.404,0.333,0.228,0.132,0.015,10,5,0,3,TOR@SF,TOR,SF,1
4,Nathan Lukes,664770,R,664770,FC,46.0,10.0,0.217,0.073,0.2071666666666667,0.467,0.0,83.79047619047618,0.185,42,0.0,0.238,0.286,0.286,0.357,0.083,0.042,10,0,0,0,TOR@SF,TOR,SF,1
5,Nathan Lukes,664770,R,664770,FF,203.0,61.0,0.3,0.078,0.3557292576419214,0.804,0.14300000000000002,85.83172043010754,0.356,186,0.016,0.366,0.441,0.253,0.231,0.12,0.108,42,13,2,4,TOR@SF,TOR,SF,1
7,Nathan Lukes,664770,R,664770,SI,75.0,16.0,0.213,0.051,0.24221428571428572,0.525,0.014000000000000012,88.14375,0.478,64,0.0,0.406,0.594,0.219,0.141,0.131,0.107,15,1,0,0,TOR@SF,TOR,SF,1
8,Nathan Lukes,664770,R,664770,SL,51.0,14.0,0.275,0.103,0.4004107142857142,0.966,0.352,87.55499999999999,0.684,40,0.075,0.475,0.375,0.175,0.3,0.196,0.054,7,1,1,5,TOR@SF,TOR,SF,1
11,Vladimir Guerrero Jr.,665489,R,665489,CH,134.0,35.0,0.261,0.141,0.3107535211267605,0.728,0.16399999999999998,89.78058252427184,0.585,103,0.097,0.485,0.524,0.243,0.155,0.218,0.042,21,10,0,4,TOR@SF,TOR,SF,2
13,Vladimir Guerrero Jr.,665489,R,665489,CU,95.0,26.0,0.274,0.15,0.32308737864077675,0.745,0.14699999999999996,90.8525641025641,0.556,78,0.09,0.462,0.449,0.295,0.167,0.181,0.067,18,5,0,3,TOR@SF,TOR,SF,2
